task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
I_accum,0.18,0.19,0.36,0.45,389,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.394674760233583,0.329420309994689,0.3794089453777831,3.7002667240274604e-07,50,0.052870936872249454,50,0.9173411923313661,0.9999999999978093,0.5129582255536594
I_accum,0.1825,0.19,0.37,0.44,384,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946833143147522,0.32915579198814565,0.37895002062577376,3.69913227335424e-07,50,0.05285878688616049,50,0.9173775643473396,0.9999999999978106,0.512955692956366
I_accum,0.1825,0.19,0.36,0.45,384,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946769310165767,0.3291118983231896,0.37985238605401556,3.6995943221154734e-07,50,0.052868534704580014,50,0.9173483839730493,0.9999999999978101,0.5129108136660813
I_accum,0.185,0.19,0.37,0.44,378,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946799758586429,0.3286127926940828,0.3799509368412678,3.698797304778627e-07,50,0.05285584009309996,50,0.9173863847804828,0.999999999997811,0.512861947446462
I_accum,0.185,0.19,0.36,0.45,378,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.394673638989795,0.32857794246857974,0.3808558133316714,3.6992577557249163e-07,50,0.05286560158923236,50,0.9173571648063614,0.9999999999978105,0.5128178738057622
I_accum,0.1775,0.18,0.37,0.45,394,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946568757094754,0.328984982133499,0.38429335920619784,3.701582209978355e-07,50,0.05292315496882825,50,0.9171847942888495,0.9999999999978078,0.5126980446159265
I_accum,0.175,0.18,0.37,0.45,400,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946443150288442,0.32903244136464793,0.3846080558858252,3.703170687305753e-07,50,0.052925873156498916,50,0.9171766495676877,0.9999999999978059,0.5126874668100283
I_accum,0.18,0.18,0.37,0.45,389,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.39466313834825545,0.3287957425749898,0.3844013971557236,3.7005913349898483e-07,50,0.0529208497669111,50,0.9171917012769337,0.9999999999978089,0.512676504750094
I_accum,0.1825,0.18,0.37,0.45,384,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.3946652986876579,0.3284972971511331,0.38484904504887063,3.6999260782356116e-07,50,0.05291850768493597,50,0.9171987185124703,0.9999999999978096,0.5126298988077632
I_accum,0.185,0.18,0.37,0.45,378,0.15476190476190477,0.7452380952380953,0.15476190476190477,0.39466214825871265,0.32797756238738973,0.3858702552825128,3.6995840200561094e-07,50,0.052915647929396646,50,0.9172072864287972,0.9999999999978101,0.5125376640119502
