task,freq_norm,amp_norm,volt_norm,curr_norm,pulse_period_steps,phase_lock_fraction,lattice_lock_fraction,joint_lock_fraction,speed_tracking_score,curvature_tracking_score,feedback_to_signal_ratio,mean_energy_drift,return_step,return_distance_a,dominant_recurrence_steps,recurrence_alignment,conservation_alignment,composite_score
D_track,0.2375,0.18,0.37,0.35,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38631456361724165,0.423530956155533,0.4170631683808403,3.271488277734519e-07,50,0.062030673227448464,50,0.8880214368260809,0.9999999999982876,0.5513171802056235
D_track,0.2375,0.18,0.36,0.37,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863364341893819,0.42106975696866245,0.41080135566805054,3.267349325370182e-07,50,0.06208421973233316,50,0.8878393037072223,0.9999999999982919,0.5513027387012852
D_track,0.2375,0.18,0.37,0.36,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38633743165153506,0.4209507437510687,0.41080840175757233,3.267052496951481e-07,50,0.06207787955504173,50,0.8878608754424839,0.9999999999982923,0.5512932837888778
D_track,0.2375,0.17,0.35,0.37,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862793149461021,0.42803741983712396,0.4304161145628672,3.275552498511854e-07,50,0.06206681272906683,50,0.8878985250413632,0.9999999999982834,0.5512140244983752
D_track,0.2375,0.17,0.36,0.37,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863012844422147,0.4254681625791689,0.42364963117895893,3.2709958634528794e-07,50,0.06210832998405214,50,0.8877572559759626,0.9999999999982881,0.5512138815495444
D_track,0.235,0.19,0.35,0.35,298,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38630763098790327,0.42390391495938234,0.42171577408888533,3.2770386308046044e-07,50,0.06192753208047702,50,0.8883719233838762,0.9999999999982817,0.5512094596765139
D_track,0.2375,0.17,0.36,0.36,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.386280683137759,0.42786520986519605,0.4302346640772475,3.275217623337371e-07,50,0.062060168301261126,50,0.8879211270809731,0.9999999999982837,0.5512069653121925
D_track,0.2375,0.17,0.37,0.36,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38630224402152524,0.42534956039949134,0.4236564479493189,3.270702882510678e-07,50,0.06210198481353164,50,0.8877788510880666,0.9999999999982884,0.5512044744153183
D_track,0.2375,0.17,0.37,0.35,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862811893254191,0.42780614570920683,0.4304291612572157,3.274975006368678e-07,50,0.06205407812892798,50,0.8879418421155327,0.9999999999982839,0.5511958356798144
D_track,0.235,0.19,0.35,0.36,298,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38633008481039105,0.4213198325924125,0.41539249657195076,3.272642563122374e-07,50,0.06197462756349505,50,0.8882119422250228,0.9999999999982864,0.5511879283365808
D_track,0.2375,0.17,0.35,0.36,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862596414217569,0.43033970337420446,0.43728703934794616,3.2796856673673664e-07,50,0.062018419890935046,50,0.8880630984871241,0.9999999999982789,0.5511864103807625
D_track,0.235,0.19,0.36,0.35,298,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863310648838089,0.42120196902594886,0.4154004487464727,3.2723504178748496e-07,50,0.06196824751690233,50,0.88823362037987,0.9999999999982867,0.5511785624818137
D_track,0.2375,0.17,0.36,0.35,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862605577083219,0.430225923922961,0.43729338264160905,3.279400998301061e-07,50,0.06201203066223464,50,0.8880848195403781,0.9999999999982793,0.5511775135104012
D_track,0.235,0.19,0.35,0.37,298,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3863530518745732,0.4187125722630055,0.4094731969668755,3.26820325858041e-07,50,0.0620217444948602,50,0.8880517953682087,0.999999999998291,0.5511479720540116
D_track,0.235,0.19,0.36,0.36,298,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.38635457225163977,0.418531868691549,0.4093181781470468,3.267852361293872e-07,50,0.06201507486600617,50,0.888074470567851,0.9999999999982914,0.5511390363264056
D_track,0.2375,0.17,0.35,0.35,295,0.22857142857142856,0.7928571428571428,0.22857142857142856,0.3862404243661856,0.43261247749948123,0.44463516177023793,3.283782401266777e-07,50,0.061970051791552794,50,0.8882274899789386,0.9999999999982747,0.5511367994876357
